,economy,Continent,Sub-region Name,CLDR display name,CC.PER.RNK.LOWER.2018,IQ.SPI.PIL1.2015,IT.NET.SECR.P6.2016,RL.EST.2018,RQ.PER.RNK.UPPER.2018,SG.GEN.PARL.ZS.2019,SH.DYN.1014.2017,SP.DYN.IMRT.IN.2017,SP.POP.0014.TO.ZS.2018,SP.POP.1564.MA.ZS.2018,SP.POP.6064.MA.5Y.2018,SP.POP.7074.MA.5Y.2018
0,AFG,AS,Southern Asia,Afghanistan,0.0,50.0,12.2992682195253,-1.68858671188354,19.0476188659668,27.8688524590164,2.1,49.4,44.7084445995593,52.6330586008387,1.26240288843111,0.621511345434501
1,ALB,EU,Southern Europe,Albania,24.2857151031494,80.0,144.640261242564,-0.414187848567963,71.9047622680664,29.5081967213115,1.1,8.3,17.0830823496453,67.9920122619273,6.01779478201982,3.65564605827468
2,DZA,AF,Northern Africa,Algeria,17.619047164917,60.0,7.66001834090993,-0.807303428649902,13.8095235824585,25.7575757575758,1.7,21.0,30.2080649353292,64.3820231083263,3.00578539047886,1.30223128707677
3,AND,EU,Southern Europe,Andorra,68.5714263916016,60.0,3019.02398676592,1.53662586212158,98.0952377319336,46.4285714285714,0.5,3.0,14.095462816693,72.9715531506921,5.80100338840587,3.54469281080087
4,AGO,AF,Sub-Saharan Africa,Angola,5.7142858505249,50.0,8.23193589132967,-1.00093221664429,35.238094329834,30.0,7.1,53.8,45.5459445531786,51.4789054813949,1.52917742641244,0.618067010937527
5,ATG,NA,Latin America and the Caribbean,Antigua & Barbuda,48.5714302062988,0.0,839.185548341504,0.376565635204315,80.9523773193359,11.1111111111111,1.0,6.0,19.7734255201882,71.0743329025174,4.38745982546236,2.08392904118676
6,ARG,SA,Latin America and the Caribbean,Argentina,43.8095245361328,50.0,735.024765104071,-0.219662562012672,60.0,40.1574803149606,1.2,9.1,24.1931513494201,65.4251581198511,4.09225267648403,2.60039347866219
7,ARM,AS,Western Asia,Armenia,29.0476188659668,80.0,194.358712207786,-0.19733352959156,74.2857131958008,23.4848484848485,1.0,11.6,20.2182434550055,67.6170209288833,5.73216461237772,1.83308177583639
8,AUS,OC,Australia and New Zealand,Australia,90.476188659668,80.0,9810.21505311893,1.67455554008484,100.0,30.4635761589404,0.5,3.2,18.7801545524021,65.760406122753,5.34342796862232,4.01270509696597
9,AUT,EU,Western Europe,Austria,88.0952377319336,80.0,4449.98024418463,1.85344958305359,97.6190490722656,39.344262295082,0.5,2.9,14.4324211973005,68.4152281526127,5.95230579125892,4.0388794109208
10,AZE,AS,Western Asia,Azerbaijan,12.8571424484253,60.0,101.867098894711,-0.619775176048279,57.1428565979004,16.8067226890756,1.6,20.4,24.5468674949371,68.5295403721748,3.8906137688683,1.00773700183691
11,BHS,NA,Latin America and the Caribbean,Bahamas,79.0476226806641,80.0,1005.1114208942,0.0695338472723961,70.9523773193359,12.8205128205128,1.4,11.8,21.3702689555904,70.8436280209285,3.92668798272569,1.83150278216095
12,BHR,AS,Western Asia,Bahrain,38.5714302062988,70.0,350.43886437945,0.38398140668869,75.2380981445313,15.0,1.0,6.2,19.9291083172336,81.36474054554,2.20210645132909,0.562771863338176
13,BGD,AS,Southern Asia,Bangladesh,11.4285717010498,70.0,23.3501898631412,-0.649730861186981,30.4761905670166,20.6303724928367,2.5,28.1,28.1708739594383,65.9917783486882,2.93527242013777,1.43759731113362
14,BRB,NA,Latin America and the Caribbean,Barbados,81.4285736083984,80.0,660.3289442991,0.363926589488983,80.9523773193359,20.0,1.3,12.5,17.8623718887262,68.4107767486831,6.12977045092264,3.46694142373438
15,BLR,EU,Eastern Europe,Belarus,41.4285697937012,60.0,440.472390005723,-0.892303824424744,34.2857131958008,40.0,0.7,2.7,16.7788682123858,69.9724730036567,6.62911138891809,2.70523660204418
16,BEL,EU,Western Europe,Belgium,87.1428604125977,80.0,3047.27862045911,1.33861649036407,93.3333358764648,42.0,0.5,3.4,16.928264257393,65.6913891152752,6.14413338699265,4.34167303295104
17,BLZ,NA,Latin America and the Caribbean,Belize,37.1428565979004,60.0,1521.86282543771,-0.842277705669403,43.8095245361328,9.375,1.7,11.8,29.9446954191161,65.1095087830567,2.50079278848403,1.18060501458211
18,BEN,AF,Sub-Saharan Africa,Benin,29.0476188659668,70.0,2.39785046027628,-0.691577911376953,48.5714302062988,7.2289156626506,7.3,60.8,42.9519047213671,53.7817325789345,1.65086819750165,0.782210424395392
19,BTN,AS,Southern Asia,Bhutan,87.1428604125977,70.0,36.0114756569093,0.548555254936218,52.8571434020996,14.8936170212766,5.2,25.5,25.0857338932799,70.0885624997683,2.76487502764875,1.47184028846142
20,BOL,SA,Latin America and the Caribbean,Bolivia,17.619047164917,70.0,37.1126203774034,-1.21184551715851,26.1904754638672,53.0769230769231,2.1,23.5,32.0466782488527,63.1696992852649,2.4948306712108,1.29822781667663
21,BIH,EU,Southern Europe,Bosnia,21.9047622680664,70.0,183.281403602313,-0.22513185441494,61.9047622680664,21.4285714285714,0.7,5.3,14.9585501020697,69.9330304420961,6.82846411271697,3.35988346560502
22,BWA,AF,Sub-Saharan Africa,Botswana,66.6666641235352,40.0,46.7604369295227,0.383702307939529,80.476188659668,10.7692307692308,3.1,32.3,33.6186726936779,62.6792401784263,1.84317004066838,0.729846687932316
23,BRA,SA,Latin America and the Caribbean,Brazil,27.1428565979004,70.0,408.663697457606,-0.302387714385986,55.7142868041992,15.009746588694,1.5,13.8,21.4398249331658,70.1708060966006,4.05001385087932,2.06171869776017
24,BRN,AS,South-eastern Asia,Brunei,66.6666641235352,80.0,603.294882087541,0.598773419857025,82.8571395874023,9.09090909090909,1.0,9.2,23.2306985558673,72.4474763073983,3.41129023298188,1.08147144111014
25,BGR,EU,Eastern Europe,Bulgaria,41.4285697937012,80.0,4043.45114117608,-0.105625674128532,79.523811340332,25.8333333333333,0.9,6.1,14.0963652542866,67.2525777669026,6.76846623937735,4.77939924807858
26,BFA,AF,Sub-Saharan Africa,Burkina Faso,42.8571434020996,50.0,1.76389735819017,-0.458880722522736,47.6190490722656,13.3858267716535,6.1,56.9,44.9913015539906,52.018105044605,1.34970179735302,0.667078252421465
27,BDI,AF,Sub-Saharan Africa,Burundi,0.476190477609634,60.0,1.46744200187704,-1.5139068365097,25.238094329834,36.3636363636364,8.7,42.9,47.5269332223138,49.827245421607,1.34757600513289,0.566053631107238
28,CPV,AF,Sub-Saharan Africa,Cape Verde,66.6666641235352,60.0,107.451011293101,0.393016159534454,64.2857131958008,23.6111111111111,1.1,14.6,27.8648602988613,67.9361810725663,2.16590105074186,0.738159353714558
29,KHM,AS,South-eastern Asia,Cambodia,1.90476191043854,60.0,20.6725503859815,-1.13457536697388,44.761905670166,20.0,1.9,24.9,30.1869204629934,65.0251059166695,2.93762488180871,0.969871513033856
30,CMR,AF,Sub-Saharan Africa,Cameroon,8.09523773193359,60.0,2.82561763995137,-1.10289537906647,30.4761905670166,31.1111111111111,8.5,53.2,42.9663453351096,54.1227671653361,1.43079080956291,0.726268331841014
31,CAN,NA,Northern America,Canada,90.476188659668,80.0,10221.4412517132,1.71509540081024,99.0476226806641,28.9940828402367,0.6,4.6,16.0869478578438,67.6117696252405,6.55445977402746,4.22811655654778
32,CAF,AF,Sub-Saharan Africa,Central African Republic,4.2857141494751,20.0,0.203907811647092,-1.71663010120392,10.9523811340332,8.57142857142857,11.3,81.7,48.5802821711634,48.6280899211378,1.62884778931578,0.656269907769169
33,TCD,AF,Sub-Saharan Africa,Chad,0.476190477609634,50.0,0.342639772185668,-1.33120822906494,18.0952377319336,14.8809523809524,11.0,72.7,48.0787044009277,49.5690125728128,1.2582325180649,0.519861147341149
34,CHL,SA,Latin America and the Caribbean,Chile,76.6666641235352,80.0,1245.7504277705,0.939828157424927,93.3333358764648,22.5806451612903,0.8,6.5,19.1026198743247,69.7738140131232,4.85937314815812,2.70573087821749
35,CHN,AS,Eastern Asia,China,37.1428565979004,70.0,47.5965383811672,-0.186719536781311,58.5714302062988,24.9411764705882,1.0,7.0,18.3905505900045,70.4402131594551,5.47510923469043,2.62082434030214
36,COL,SA,Latin America and the Caribbean,Colombia,32.8571434020996,80.0,323.668050330959,-0.383665770292282,70.476188659668,18.7134502923977,1.4,12.6,22.8196598526068,69.2796627454022,3.89281113977201,1.94863728573704
37,COM,AF,Sub-Saharan Africa,Comoros,10.9523811340332,40.0,62.983093729564,-1.14288461208344,18.0952377319336,6.06060606060606,1.9,44.3,38.9097316998867,56.7111642851733,1.8885920669377,1.07446408375942
38,COG,AF,Sub-Saharan Africa,Congo - Brazzaville,1.42857146263123,70.0,4.43431278948351,-1.13426172733307,11.4285717010498,11.2582781456954,3.6,35.7,42.0337518668231,55.2354378425138,1.62507189626692,0.649086399757048
39,CRI,NA,Latin America and the Caribbean,Costa Rica,61.9047622680664,80.0,485.318606609837,0.467701107263565,77.1428604125977,45.6140350877193,1.0,7.5,21.5604513152251,69.1299883744504,4.24391955246386,2.41830042067384
40,HRV,EU,Southern Europe,Croatia,50.476188659668,70.0,1724.58028784848,0.301379770040512,75.7142868041992,20.5298013245033,0.5,4.1,14.2534464130985,67.6891818508979,7.22791519172253,4.07896410780874
41,CUB,NA,Latin America and the Caribbean,Cuba,52.8571434020996,70.0,2.82136890703343,-0.464358031749725,10.9523811340332,53.2231404958678,1.0,4.3,16.0993663272083,69.4796554896132,5.01623202252837,3.65512098779536
42,CYP,EU,Western Asia,Cyprus,64.7619018554688,60.0,4445.34974676116,0.721238017082214,86.6666641235352,17.8571428571429,0.7,2.3,16.0419287005335,71.1519186360733,5.09105946707283,3.33759150985113
43,CZE,EU,Eastern Europe,Czechia,62.8571434020996,70.0,11991.389254095,1.01989901065826,91.9047622680664,22.5,0.5,2.6,15.7260607979824,67.0907578130296,6.41476588512185,4.83552229713488
44,CIV,AF,Sub-Saharan Africa,Côte d’Ivoire,26.1904754638672,60.0,5.94706566411254,-0.602161288261414,54.2857131958008,10.9803921568627,10.9,62.6,42.7614415845524,54.9242142355306,1.42605279938269,0.685613046382859
