,economy,Continent,Sub-region Name,CLDR display name,CC.EST.2022,CC.PER.RNK.2022,CC.PER.RNK.LOWER.2022,CC.PER.RNK.UPPER.2022,EG.CFT.ACCS.RU.ZS.2021,EG.CFT.ACCS.UR.ZS.2021,EG.CFT.ACCS.ZS.2021,EN.ATM.PM25.MC.M3.2019,ER.LND.PTLD.ZS.2022,ER.PTD.TOTL.ZS.2022,GE.EST.2022,GE.PER.RNK.2022,GE.PER.RNK.LOWER.2022,GE.PER.RNK.UPPER.2022,IQ.SPI.PIL1.2019,IT.NET.SECR.P6.2020,NY.GDP.PCAP.CD.2021,NY.GDP.TOTL.RT.ZS.2018,PV.EST.2022,PV.PER.RNK.2022,PV.PER.RNK.LOWER.2022,PV.PER.RNK.UPPER.2022,RL.EST.2022,RL.PER.RNK.2022,RL.PER.RNK.LOWER.2022,RL.PER.RNK.UPPER.2022,RQ.EST.2022,RQ.PER.RNK.2022,RQ.PER.RNK.LOWER.2022,RQ.PER.RNK.UPPER.2022,SG.GEN.PARL.ZS.2019,SH.ANM.ALLW.ZS.2019,SH.ANM.CHLD.ZS.2019,SH.ANM.NPRG.ZS.2019,SH.DYN.1014.2021,SH.DYN.1519.2021,SH.DYN.2024.2021,SH.DYN.MORT.2021,SH.DYN.MORT.FE.2021,SH.DYN.MORT.MA.2021,SH.DYN.NMRT.2021,SH.PRG.ANEM.2019,SH.STA.DIAB.ZS.2021,SH.UHC.SRVS.CV.XD.2021,SP.DYN.CBRT.IN.2018,SP.DYN.CDRT.IN.2018,SP.DYN.IMRT.FE.IN.2021,SP.DYN.IMRT.IN.2021,SP.DYN.IMRT.MA.IN.2021,SP.DYN.LE00.FE.IN.2021,SP.DYN.LE00.IN.2021,SP.DYN.LE00.MA.IN.2021,SP.DYN.TFRT.IN.2020,SP.DYN.TO65.FE.ZS.2021,SP.POP.0004.FE.5Y.2022,SP.POP.0004.MA.5Y.2022,SP.POP.0014.FE.ZS.2022,SP.POP.0014.MA.ZS.2022,SP.POP.0014.TO.ZS.2022,SP.POP.0509.FE.5Y.2022,SP.POP.0509.MA.5Y.2022,SP.POP.1014.FE.5Y.2022,SP.POP.1014.MA.5Y.2022,SP.POP.1519.FE.5Y.2022,SP.POP.1519.MA.5Y.2022,SP.POP.2024.FE.5Y.2022,SP.POP.2024.MA.5Y.2022,SP.POP.2529.FE.5Y.2022,SP.POP.2529.MA.5Y.2022,SP.POP.4549.FE.5Y.2022,SP.POP.4549.MA.5Y.2022,SP.POP.5054.FE.5Y.2022,SP.POP.5054.MA.5Y.2022,SP.POP.5559.FE.5Y.2022,SP.POP.5559.MA.5Y.2022,SP.POP.6064.FE.5Y.2022,SP.POP.6064.MA.5Y.2022,SP.POP.6569.FE.5Y.2022,SP.POP.6569.MA.5Y.2022,SP.POP.65UP.FE.ZS.2022,SP.POP.65UP.MA.ZS.2022,SP.POP.65UP.TO.ZS.2022,SP.POP.7074.FE.5Y.2022,SP.POP.7074.MA.5Y.2022,SP.POP.7579.FE.5Y.2022,SP.POP.7579.MA.5Y.2022,SP.POP.80UP.FE.5Y.2022,SP.POP.80UP.MA.5Y.2022,SP.POP.DPND.OL.2022,SP.POP.DPND.YG.2022,SP.POP.GROW.2021,SP.POP.TOTL.FE.ZS.2022,SP.POP.TOTL.MA.ZS.2022,SP.URB.GROW.2021,TM.VAL.MRCH.AL.ZS.2018,TM.VAL.MRCH.HI.ZS.2020,TX.VAL.MRCH.HI.ZS.2020,VA.EST.2022,VA.PER.RNK.2022,VA.PER.RNK.LOWER.2022,VA.PER.RNK.UPPER.2022
0,AFG,AS,Southern Asia,Afghanistan,-1.18377649784088,12.2641506195068,4.71698093414307,20.2830181121826,17.9,85.2,35.4,52.41704109,3.6372566,3.6372565953286,-1.87955236434937,1.88679242134094,0.0,8.49056625366211,70.0,34.9479616639848,355.777826392648,0.855264249305936,-2.5508017539978,0.471698105335236,0.0,4.24528312683105,-1.65844225883484,5.18867921829224,1.41509437561035,7.07547187805176,-1.27180624008179,8.96226406097412,3.77358484268188,18.3962268829346,27.8688524590164,42.6,44.9,43.2,1.7,12.7,17.8,55.7,52.2,59.1,34.1,36.5,10.9,41.0,36.927,6.981,40.2,43.4,46.5,65.279,61.982,58.915,4.75,65.217377,15.8714138250099,16.2681190162475,42.5426457847725,43.7071791113759,43.1306335411773,14.2594272983213,14.6466375896266,12.4118046614412,12.7924225055019,11.4821713174362,11.8257667827739,9.96719235800581,10.1396835336549,8.29467248073637,8.28822530118544,3.31895482093429,3.23156947155416,2.67568115611922,2.49015214065077,2.09516799379875,1.81619460859015,1.58994828145641,1.29624275549947,1.15050444376967,0.897317893936766,2.7666457014814,2.02927877582496,2.3943397190254,0.795333873644808,0.577472539590557,0.501077258893126,0.348894625280537,0.319730125173795,0.205593717017099,4.39530015497943,79.1750593586432,2.85135765449931,49.5087222518757,50.4912777481243,3.95185728902399,1.89931899761503,10.2755404613664,6.70795074289595,-1.75158727169037,2.4154589176178,0.0,6.28019332885742
1,ALB,EU,Southern Europe,Albania,-0.407875537872314,38.6792449951172,26.8867931365967,50.0,68.15,93.9,83.7,18.63878032,18.591568,14.1751972700153,0.0650628432631493,56.6037750244141,35.8490562438965,68.3962249755859,100.0,884.825091116546,6377.20309553753,1.71111628143642,0.114945493638515,50.4716987609863,36.3207550048828,60.8490562438965,-0.16577909886837,47.1698112487793,38.6792449951172,54.7169799804688,0.159353822469711,57.5471687316895,43.8679237365723,68.8679275512695,29.5081967213115,24.8,30.9,24.8,1.0,1.6,1.9,9.5,8.7,10.2,7.1,24.5,10.2,64.0,10.517,8.308,7.6,8.4,9.2,79.173,76.463,74.087,1.4,89.363323,4.74416596613216,5.07510331930116,15.8033916985344,16.4914496864362,16.1466104637724,5.44437287974967,5.58349176390266,5.61485285265258,5.83285460323237,6.16929008797778,6.46181602869489,7.14934810803032,7.21709872278688,8.11452379155603,8.11577122096806,5.91435987525513,5.64203260866115,6.68662678153678,6.25854528822021,7.05029633048615,6.71188417940724,6.92842965024754,6.69118329032697,5.73071745849004,5.48337281313798,17.2028227299611,16.1049743143227,16.6551913031639,4.46982553619409,4.25658945975617,3.17414966225169,3.04317175707524,3.82813007302524,3.32184028435334,24.7851525562841,24.0283580946095,-0.926918061639398,50.1177382850143,49.8822265324712,0.443404480033808,2.30286629507241,63.6443025118216,76.4820009842426,0.13946570456028,52.1739120483398,42.9951705932617,58.4541053771973
2,DZA,AF,Northern Africa,Algeria,-0.637929856777191,28.301887512207,19.8113212585449,42.4528312683105,98.9,99.9,99.7,32.83308539,4.6404362,4.40003633213823,-0.513090252876282,32.5471687316895,15.5660381317139,48.113208770752,70.0,48.467646787122,3700.31469728198,20.7172028374976,-0.741771519184113,19.3396224975586,12.7358493804932,32.0754699707031,-0.832472681999207,22.6415100097656,13.2075471878052,32.5471687316895,-1.06357324123383,14.1509437561035,6.13207530975342,25.943395614624,25.7575757575758,33.3,34.3,33.3,1.4,2.4,3.0,22.3,20.6,24.0,15.6,33.1,7.1,74.0,24.074,4.482,17.5,19.2,20.7,77.959,76.377,74.879,2.942,87.70347,10.6544568386512,10.7087877990945,30.5486244661225,30.7344698872978,30.6432466710353,10.6816879234653,10.7328296278962,9.212479704006,9.29285246030709,7.24414003682911,7.32112506485859,6.30261915442763,6.33933795850034,7.17896600594688,7.33582616312161,6.0432637149311,6.09452596229918,5.15355993010749,5.16086406678261,4.24896343686961,4.21967884814424,3.31586549831309,3.24974097570284,2.63802835512701,2.50283026759739,6.76906604116535,6.02020252829584,6.38778617794156,1.83636055326469,1.69871387260324,1.11649943088984,0.915533748610563,1.17817770188382,0.903124639484652,10.1443400883824,48.6640452550879,1.65770320084269,49.085532275243,50.9144654977454,2.37124967540079,10.6045122770551,40.6048702072929,74.3790954595524,-1.00387418270111,21.7391300201416,15.4589376449585,25.6038646697998
3,AND,EU,Southern Europe,Andorra,1.27020359039307,88.6792449951172,68.3962249755859,97.1698150634766,100.0,100.0,100.0,9.066401367,26.8572655,26.8572658896295,1.49530494213104,92.4528274536133,75.0,100.0,60.0,9665.37966537967,42072.3194231234,0.0,1.58773648738861,98.5849075317383,91.0377349853516,100.0,1.48544991016388,90.5660400390625,75.0,100.0,1.39833402633667,90.0943374633789,72.1698150634766,99.5283050537109,46.4285714285714,12.1,14.1,12.0,0.4,1.3,1.9,2.8,2.4,3.1,1.4,16.8,9.7,79.0,7.2,4.4,2.3,2.6,2.9,,,,,92.802338,3.05727752446334,3.20330505565635,12.8105948050617,12.7801206296278,12.7950240529164,4.39315538705876,4.32501348501937,5.36016189353963,5.25180208895209,4.95030483119012,5.3339381160202,5.44341410932937,5.73113323199137,5.54715917823659,6.37841416172216,9.456170910395,9.21394596184965,8.76325631436037,8.93076055509243,8.16384036067422,8.35826018731918,6.56155540755162,6.7633501691757,4.82478610584559,4.95635757367724,15.8179210000512,14.154366694454,14.9679294447785,3.74634971053845,3.69857303976855,2.84850658332906,2.70681116069239,4.39827860033813,2.79262492031579,20.7203926261207,17.7115307909752,1.70228822534561,48.9050912006414,51.0949087993586,1.63634603123151,,,,1.10283291339874,85.5072479248047,67.6328506469727,96.1352691650391
4,AGO,AF,Sub-Saharan Africa,Angola,-0.601941287517548,30.6603775024414,21.2264156341553,43.3962249755859,8.1,76.6,50.0,28.4208104,6.9714265,5.00470976181898,-1.04042935371399,13.2075471878052,8.49056625366211,27.3584899902344,80.0,19.7436401995591,1927.47407832091,32.045405604301,-0.646240890026093,22.6415100097656,14.1509437561035,36.3207550048828,-1.02190458774567,16.0377349853516,9.43396186828613,23.5849056243896,-0.606698572635651,29.7169818878174,16.5094337463379,42.4528312683105,30.0,44.5,62.4,44.0,6.3,12.1,17.8,69.4,63.3,75.2,26.6,48.3,4.6,37.0,40.236,7.99,41.7,47.2,52.2,64.307,61.643,59.029,5.371,63.523185,16.8500019210232,17.5239066472743,44.2683708647752,45.7791876209601,45.0151306638764,14.7718881430528,15.2509840887263,12.6464808006992,13.0042968849595,10.3880658646226,10.6252476263612,8.47664078790456,8.58012639756204,7.29677692302969,7.31345618168486,3.50413531159928,3.28415478654668,2.87268399673179,2.57734931561965,2.33463080419534,2.08820633256658,1.76821925256444,1.57692389356655,1.22966878864497,1.06373704636464,2.92106933571572,2.27160652720846,2.6000557419631,0.789644731822238,0.623571462903563,0.505933350466508,0.346278259108266,0.395822464782004,0.238019758831999,4.96337945822142,85.931640046183,3.16602986153025,50.5724425367881,49.4275574632119,4.11178584659054,5.32543160734394,64.6851609178098,22.7062249948014,-0.7971311211586,26.57004737854,21.7391300201416,31.8840579986572
5,ATG,NA,Latin America and the Caribbean,Antigua & Barbuda,0.310604453086853,63.2075462341309,50.0,78.301887512207,100.0,100.0,100.0,17.59200058,19.9374428,0.381997432716486,-0.159468576312065,46.2264137268066,14.6226415634155,71.698112487793,20.0,1316.58464991798,17178.5437160522,0.0,0.94386225938797,82.5471725463867,62.2641525268555,96.698112487793,0.391315579414368,61.7924537658691,48.5849075317383,78.7735824584961,0.28908696770668,61.3207550048828,41.0377349853516,77.3584899902344,11.1111111111111,17.2,17.2,17.2,0.9,2.6,3.2,6.1,5.6,6.6,3.3,19.4,11.7,76.0,10.816,5.787,4.8,5.2,5.5,80.941,78.497,75.775,1.569,89.700867,5.40311549376289,6.09061676566478,17.4924970907086,19.7009959358671,18.5472947751245,5.51029991221086,6.20896788888393,6.5790816847349,7.40141128131839,6.40860741920336,7.19820463579117,7.00986096649721,7.83685409316243,7.56109511851534,8.26224822473315,7.07723402952165,6.72368362288419,7.65807149711112,6.96261890938323,7.22422980339315,6.53275869769104,5.89616381862355,5.13152605957751,4.24246136256916,3.65771961948997,11.8770543680203,9.24143629136707,10.6182609344838,3.09814009513893,2.5858603903354,2.06202405014189,1.56312804251708,2.47442886017027,1.43472823902461,14.9903637677668,26.1834497711395,0.597151594527623,52.2391561703444,47.7608438296556,0.37912230210342,0.157405964142318,78.2819593006411,66.7832772599891,0.721560716629028,70.0483093261719,58.4541053771973,85.5072479248047
6,ARG,SA,Latin America and the Caribbean,Argentina,-0.447030484676361,36.3207550048828,24.5283012390137,48.113208770752,97.7,99.9,99.9,13.51118918,8.6914997,9.55264564367104,-0.282877296209335,41.9811325073242,26.4150943756104,57.5471687316895,70.0,3685.76312946783,10650.8604604345,2.0371251352841,-0.00916328188031912,46.698112487793,31.6037731170654,56.6037750244141,-0.48068231344223,34.9056587219238,23.5849056243896,44.3396224975586,-0.697565734386444,25.943395614624,15.5660381317139,39.6226425170898,40.1574803149606,11.9,19.0,11.6,0.8,2.6,4.1,6.9,6.0,7.8,5.1,20.6,5.4,79.0,15.187,7.68,5.3,6.1,6.9,78.647,75.39,72.182,1.911,85.105289,6.87410380143763,7.36568155235163,22.214714630099,23.9086639305084,23.0533315543961,7.7535299523697,8.34967812909873,7.58708087629164,8.19330424905807,7.3926505832256,7.94283396677508,7.40100578332155,7.89676554352684,7.51341803794575,7.97954401337522,6.18636639354011,6.35321260842523,5.27938984062499,5.27141134217496,4.77541243900432,4.6812677167252,4.38676073287464,4.13158902838746,3.98059139237712,3.50317081862427,13.9369437400426,9.85947699523719,11.9183280591447,3.38265715467751,2.70665912078662,2.65857027469592,1.85733040511052,3.91512491829202,1.79231665071578,18.3278989646123,35.4512077083876,0.947490959333989,50.4933870161048,49.5066129838952,1.07551503856124,2.07639401141701,36.1386455584673,37.1236784336013,0.543526768684387,62.8019332885742,58.4541053771973,70.5314025878906
7,ARM,AS,Western Asia,Armenia,0.0280352365225554,56.1320762634277,47.1698112487793,63.2075462341309,96.4,99.7,98.4,33.65637939,24.6810169,24.6810162414224,-0.314229518175125,39.1509437561035,23.5849056243896,57.5471687316895,100.0,620.542855594937,4972.78320361917,1.09866113638474,-0.797183930873871,17.9245281219482,12.2641506195068,30.6603775024414,-0.168567225337029,46.2264137268066,37.7358474731445,54.7169799804688,-0.0190788023173809,51.886791229248,36.3207550048828,63.6792449951172,23.4848484848485,17.3,19.6,17.2,1.0,2.1,3.1,10.7,9.6,11.8,5.6,18.1,5.6,68.0,13.307,9.75,8.6,9.5,10.5,77.35,72.043,66.554,1.575,85.137742,5.49095149244588,7.36565743671297,17.6831011431396,23.8990991365742,20.4777683189419,6.40130737873765,8.66661573653175,5.79084227195608,7.8668259633295,5.07615539955325,6.73057731974432,5.11222462502217,6.37019995144305,6.870664709432,7.72703474221819,5.56616105497257,4.73686252503343,5.43233900105888,4.84149595405409,6.68773754149676,5.32474560597595,7.61527858412608,6.55698822113971,5.787836503167,4.63682880715091,15.7743072764762,9.9334161814638,13.1482854151584,3.93794917048949,2.77202591677243,1.78575337471057,1.06173332314731,4.2627682281091,1.46282813439316,19.8094073877802,30.8521181442281,-0.522963242641951,55.040714354305,44.959285645695,-0.336768058503091,2.61914816870133,24.6522153495716,36.5692543985813,0.0882339403033257,51.2077293395996,41.5458946228027,57.487922668457
8,AUS,OC,Australia and New Zealand,Australia,1.76448953151703,95.2830200195313,89.6226425170898,97.1698150634766,100.0,100.0,100.0,6.745497859,20.3629208,32.1204150724308,1.52887463569641,92.9245300292969,80.6603775024414,98.1132049560547,100.0,39862.7281392421,60697.2454358579,5.22752063881788,0.933572053909302,81.6037750244141,65.5660400390625,95.2830200195313,1.51008522510529,91.0377349853516,86.3207550048828,99.0566024780273,1.89489328861237,99.5283050537109,91.5094375610352,100.0,30.4635761589404,8.5,13.3,8.2,0.4,1.6,2.2,3.7,3.4,4.0,2.4,15.7,6.4,87.0,12.6,6.3,2.9,3.2,3.4,85.4,83.3,81.3,1.581,94.804253,5.63502776429786,6.03818269829366,17.5715455697523,18.7970078966958,18.180046703239,5.96608689743594,6.3846690364037,5.97043090801848,6.37415616199843,5.65923281889752,6.03934823102136,6.11968655895974,6.50122230917344,7.13914806782014,7.51902857193852,6.23381073567014,6.23234968012858,6.39150021676423,6.19894928186259,5.91195179961736,5.75748548969454,5.74953512447449,5.54765882556768,5.06976765537739,4.80853413064491,17.8093773037246,15.9821771197386,16.9020843102012,4.43098943548008,4.23350721183953,3.42777338802967,3.2218132642702,4.88084682483747,3.71832251298396,26.0361034985756,28.0046868182555,0.14089508329287,50.3451811682079,49.6548226518793,0.281103300397357,1.90611680911208,52.663226741798,47.0039781595964,1.31948041915894,93.2367172241211,83.5748825073242,97.5845413208008
9,AUT,EU,Western Europe,Austria,1.25861942768097,84.9056625366211,81.1320724487305,90.0943374633789,100.0,100.0,100.0,12.16821803,29.5004673,29.5004667251294,1.46545016765594,91.5094375610352,80.6603775024414,97.6415100097656,100.0,33802.6911703487,53517.8904509612,0.140755073164382,0.637995362281799,68.8679275512695,53.301887512207,83.9622650146484,1.70585024356842,95.7547149658203,89.6226425170898,100.0,1.28319978713989,87.2641525268555,77.3584899902344,95.2830200195313,39.344262295082,13.0,14.6,12.9,0.4,1.3,1.7,3.7,3.3,4.0,2.3,17.8,4.6,85.0,9.7,9.5,2.7,3.0,3.2,83.8,81.2390243902439,78.8,1.44,93.190064,4.57764944110382,4.97424910939204,13.7546409425327,15.020981744326,14.3780936028915,4.65873510766987,5.1066446090811,4.51825639375905,4.94008802585291,4.64667141135332,5.03754992664512,5.09114425536697,5.576061294095,6.19182709362971,6.6978444776626,6.46134879836771,6.57562800386348,7.46727378090565,7.6447097353067,7.7768425505849,8.00594018868006,6.89751476838805,6.90062975906382,5.66166344600862,5.29368420980881,21.939148292023,17.6084424113658,19.8070286456344,4.94512395310252,4.34578514484776,4.10343049658361,3.33230179812038,7.22893039632823,4.63667125858884,30.0950632032255,21.8462705450603,0.435671684056384,50.7673874619013,49.2326125380987,0.85522683458329,1.00251332121969,87.9827941321782,88.169576943282,1.40876078605652,94.2028961181641,88.8888854980469,98.0676345825195
10,AZE,AS,Western Asia,Azerbaijan,-1.04057228565216,16.9811325073242,7.07547187805176,24.5283012390137,97.5,99.4,98.3,25.4950546,10.1551256,5.51915287902806,-0.0406579151749611,50.9433975219727,32.0754699707031,65.5660400390625,80.0,299.312769558593,5408.04535175023,27.6209320144449,-0.931885719299316,15.5660381317139,10.8490562438965,25.4716987609863,-0.624645590782166,25.943395614624,19.8113212585449,40.0943412780762,-0.103344202041626,48.113208770752,32.5471687316895,61.3207550048828,16.8067226890756,35.1,24.8,35.1,1.6,3.8,4.3,18.6,16.8,20.3,9.5,35.0,5.6,66.0,14.0,5.8,14.9,16.6,18.2,73.287,69.366,65.646,1.7,79.148777,6.0182174335337,6.97056603625915,21.6261867102554,25.3838037624875,23.4802580093558,7.87736149754542,9.24332999566119,7.7306077791763,9.16990773056719,6.38671686842564,7.44085985739156,6.08757788519326,6.71600942896457,7.74889362980615,8.16498633543654,6.18518182891476,5.79547716890398,6.38623089740838,5.68311811299398,6.4520370904515,5.54795462005079,5.7711821664264,4.90284634789044,3.72310019397867,2.94590085108194,8.35280314276504,5.82927782525305,7.10765341124228,2.19751329583352,1.56609055543136,0.955257029594587,0.58548019677754,1.47693262335826,0.731806221962209,10.2397932838561,33.8273241183277,0.441197735816311,50.6583173667228,49.3416729789727,1.11098025254736,0.678993484684273,36.0734875793087,55.9554691705934,-1.4408358335495,9.66183567047119,4.8309178352356,14.4927539825439
