,economy,Continent,Sub-region Name,CLDR display name,CC.EST.2022,CC.PER.RNK.2022,CC.PER.RNK.LOWER.2022,CC.PER.RNK.UPPER.2022,EG.CFT.ACCS.RU.ZS.2021,EG.CFT.ACCS.UR.ZS.2021,EG.CFT.ACCS.ZS.2021,EN.ATM.PM25.MC.M3.2019,ER.LND.PTLD.ZS.2022,ER.PTD.TOTL.ZS.2022,GE.EST.2022,GE.PER.RNK.2022,GE.PER.RNK.LOWER.2022,GE.PER.RNK.UPPER.2022,IQ.SPI.PIL1.2019,IT.NET.SECR.P6.2020
0,AFG,AS,Southern Asia,Afghanistan,-1.18377649784088,12.2641506195068,4.71698093414307,20.2830181121826,17.9,85.2,35.4,52.41704109,3.6372566,3.6372565953286,-1.87955236434937,1.88679242134094,0.0,8.49056625366211,70.0,34.9479616639848
1,ALB,EU,Southern Europe,Albania,-0.407875537872314,38.6792449951172,26.8867931365967,50.0,68.15,93.9,83.7,18.63878032,18.591568,14.1751972700153,0.0650628432631493,56.6037750244141,35.8490562438965,68.3962249755859,100.0,884.825091116546
2,DZA,AF,Northern Africa,Algeria,-0.637929856777191,28.301887512207,19.8113212585449,42.4528312683105,98.9,99.9,99.7,32.83308539,4.6404362,4.40003633213823,-0.513090252876282,32.5471687316895,15.5660381317139,48.113208770752,70.0,48.467646787122
3,AND,EU,Southern Europe,Andorra,1.27020359039307,88.6792449951172,68.3962249755859,97.1698150634766,100.0,100.0,100.0,9.066401367,26.8572655,26.8572658896295,1.49530494213104,92.4528274536133,75.0,100.0,60.0,9665.37966537967
4,AGO,AF,Sub-Saharan Africa,Angola,-0.601941287517548,30.6603775024414,21.2264156341553,43.3962249755859,8.1,76.6,50.0,28.4208104,6.9714265,5.00470976181898,-1.04042935371399,13.2075471878052,8.49056625366211,27.3584899902344,80.0,19.7436401995591
5,ATG,NA,Latin America and the Caribbean,Antigua & Barbuda,0.310604453086853,63.2075462341309,50.0,78.301887512207,100.0,100.0,100.0,17.59200058,19.9374428,0.381997432716486,-0.159468576312065,46.2264137268066,14.6226415634155,71.698112487793,20.0,1316.58464991798
6,ARG,SA,Latin America and the Caribbean,Argentina,-0.447030484676361,36.3207550048828,24.5283012390137,48.113208770752,97.7,99.9,99.9,13.51118918,8.6914997,9.55264564367104,-0.282877296209335,41.9811325073242,26.4150943756104,57.5471687316895,70.0,3685.76312946783
7,ARM,AS,Western Asia,Armenia,0.0280352365225554,56.1320762634277,47.1698112487793,63.2075462341309,96.4,99.7,98.4,33.65637939,24.6810169,24.6810162414224,-0.314229518175125,39.1509437561035,23.5849056243896,57.5471687316895,100.0,620.542855594937
8,AUS,OC,Australia and New Zealand,Australia,1.76448953151703,95.2830200195313,89.6226425170898,97.1698150634766,100.0,100.0,100.0,6.745497859,20.3629208,32.1204150724308,1.52887463569641,92.9245300292969,80.6603775024414,98.1132049560547,100.0,39862.7281392421
9,AUT,EU,Western Europe,Austria,1.25861942768097,84.9056625366211,81.1320724487305,90.0943374633789,100.0,100.0,100.0,12.16821803,29.5004673,29.5004667251294,1.46545016765594,91.5094375610352,80.6603775024414,97.6415100097656,100.0,33802.6911703487
