region,season,quadrat,species,sex,stage,is_gravid,carapace_width,carapace_length,front_width,left_claw_length,right_claw_length
Ria Formosa,summer,0,Afruca farensis,,juvenile,False,27.0,21.0,15.0,16.0,10.0
Ria Formosa,summer,0,Afruca farensis,,juvenile,False,27.0,21.0,16.0,13.0,15.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,True,19.0,15.0,10.0,9.0,5.0
Ria Formosa,summer,0,Afruca farensis,,juvenile,False,26.0,21.0,19.0,16.0,14.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,24.0,19.0,14.0,8.0,7.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,22.0,17.0,15.0,7.0,6.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,25.0,19.0,15.0,14.0,9.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,18.0,14.0,8.0,13.0,5.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,True,24.0,19.0,11.0,10.0,10.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,24.0,19.0,19.0,12.0,12.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,21.0,17.0,8.0,8.0,13.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,25.0,20.0,18.0,16.0,15.0
Ria Formosa,summer,0,Afruca farensis,,juvenile,False,27.0,22.0,15.0,13.0,11.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,19.0,15.0,11.0,9.0,10.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,True,22.0,17.0,13.0,8.0,6.0
Ria Formosa,summer,0,Afruca farensis,,juvenile,False,27.0,22.0,15.0,19.0,16.0
Ria Formosa,summer,0,Afruca farensis,,juvenile,False,28.0,22.0,11.0,13.0,12.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,17.0,14.0,10.0,8.0,9.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,22.0,17.0,15.0,8.0,11.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,23.0,18.0,9.0,11.0,13.0
Ria Formosa,summer,0,Afruca farensis,,juvenile,False,27.0,21.0,18.0,14.0,14.0
Ria Formosa,summer,0,Afruca farensis,female,juvenile,False,18.0,14.0,7.0,11.0,13.0
